round,train_acc,val_acc,test_acc,dataset,model,method,seed,mean_client_test_acc
160,0.9901295496607033,0.862708719851577,0.8777372262773723,Cora,gcn,centralized,0,
161,0.9901295496607033,0.8645640074211502,0.8795620437956204,Cora,gcn,centralized,0,
162,0.9901295496607033,0.8589981447124304,0.8777372262773723,Cora,gcn,centralized,0,
163,0.9901295496607033,0.8645640074211502,0.8795620437956204,Cora,gcn,centralized,0,
164,0.9919802590993214,0.8608534322820037,0.8795620437956204,Cora,gcn,centralized,0,
165,0.9913633559531153,0.8682745825602969,0.8813868613138686,Cora,gcn,centralized,0,
166,0.9895126465144972,0.862708719851577,0.8777372262773723,Cora,gcn,centralized,0,
167,0.9901295496607033,0.8589981447124304,0.8777372262773723,Cora,gcn,centralized,0,
168,0.9876619370758791,0.8608534322820037,0.8795620437956204,Cora,gcn,centralized,0,
169,0.9888957433682912,0.8608534322820037,0.8795620437956204,Cora,gcn,centralized,0,
170,0.9888957433682912,0.8589981447124304,0.8759124087591241,Cora,gcn,centralized,0,
171,0.9888957433682912,0.8608534322820037,0.8795620437956204,Cora,gcn,centralized,0,
172,0.987045033929673,0.8552875695732839,0.8777372262773723,Cora,gcn,centralized,0,
173,0.987045033929673,0.8589981447124304,0.8795620437956204,Cora,gcn,centralized,0,
174,0.9858112276372609,0.8589981447124304,0.8795620437956204,Cora,gcn,centralized,0,
175,0.9845774213448488,0.862708719851577,0.8777372262773723,Cora,gcn,centralized,0,
176,0.9888957433682912,0.8645640074211502,0.8740875912408759,Cora,gcn,centralized,0,
177,0.9888957433682912,0.862708719851577,0.8759124087591241,Cora,gcn,centralized,0,
178,0.9888957433682912,0.8608534322820037,0.8759124087591241,Cora,gcn,centralized,0,
179,0.9876619370758791,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
180,0.9901295496607033,0.8552875695732839,0.8777372262773723,Cora,gcn,centralized,0,
181,0.9876619370758791,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
182,0.9888957433682912,0.849721706864564,0.8795620437956204,Cora,gcn,centralized,0,
183,0.9882788402220851,0.8478664192949907,0.8813868613138686,Cora,gcn,centralized,0,
184,0.9895126465144972,0.8478664192949907,0.8777372262773723,Cora,gcn,centralized,0,
185,0.9901295496607033,0.862708719851577,0.8795620437956204,Cora,gcn,centralized,0,
186,0.9888957433682912,0.8589981447124304,0.8795620437956204,Cora,gcn,centralized,0,
187,0.9888957433682912,0.8571428571428571,0.8777372262773723,Cora,gcn,centralized,0,
188,0.9888957433682912,0.8534322820037106,0.8759124087591241,Cora,gcn,centralized,0,
189,0.9888957433682912,0.8552875695732839,0.8740875912408759,Cora,gcn,centralized,0,
190,0.9913633559531153,0.8534322820037106,0.8795620437956204,Cora,gcn,centralized,0,
191,0.9944478716841456,0.8608534322820037,0.8777372262773723,Cora,gcn,centralized,0,
192,0.9901295496607033,0.8552875695732839,0.8777372262773723,Cora,gcn,centralized,0,
193,0.9888957433682912,0.8552875695732839,0.8795620437956204,Cora,gcn,centralized,0,
194,0.9913633559531153,0.849721706864564,0.8777372262773723,Cora,gcn,centralized,0,
195,0.9888957433682912,0.8552875695732839,0.8722627737226277,Cora,gcn,centralized,0,
196,0.9895126465144972,0.8534322820037106,0.8722627737226277,Cora,gcn,centralized,0,
197,0.9901295496607033,0.8534322820037106,0.8813868613138686,Cora,gcn,centralized,0,
198,0.9888957433682912,0.8552875695732839,0.8813868613138686,Cora,gcn,centralized,0,
199,0.9876619370758791,0.8571428571428571,0.8832116788321168,Cora,gcn,centralized,0,
200,0.9895126465144972,0.8589981447124304,0.8832116788321168,Cora,gcn,centralized,0,
200,,,0.8613138686131386,Cora,gcn,local,0,
1,,,0.3010948905109489,Cora,gcn,fedavg,0,0.30694597844942395
2,,,0.33941605839416056,Cora,gcn,fedavg,0,0.3465126010992384
3,,,0.4744525547445255,Cora,gcn,fedavg,0,0.4858179633875229
4,,,0.5583941605839416,Cora,gcn,fedavg,0,0.5737522756436169
5,,,0.6514598540145985,Cora,gcn,fedavg,0,0.6623689974705653
6,,,0.698905109489051,Cora,gcn,fedavg,0,0.7040135162912552
7,,,0.7427007299270073,Cora,gcn,fedavg,0,0.7441472930530157
8,,,0.7554744525547445,Cora,gcn,fedavg,0,0.7561788462950951
9,,,0.7828467153284672,Cora,gcn,fedavg,0,0.7833505528689789
10,,,0.7901459854014599,Cora,gcn,fedavg,0,0.7908096099409392
11,,,0.7937956204379562,Cora,gcn,fedavg,0,0.7945755632858399
12,,,0.8029197080291971,Cora,gcn,fedavg,0,0.8031385450440679
13,,,0.8083941605839416,Cora,gcn,fedavg,0,0.8083791962999992
14,,,0.8138686131386861,Cora,gcn,fedavg,0,0.814082900003703
15,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8206603548069642
16,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8245834317300412
17,,,0.822992700729927,Cora,gcn,fedavg,0,0.8231196440557271
18,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8248740300206394
19,,,0.8248175182481752,Cora,gcn,fedavg,0,0.824302601449211
20,,,0.8266423357664233,Cora,gcn,fedavg,0,0.8263026014492109
21,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8245638563233688
22,,,0.8321167883211679,Cora,gcn,fedavg,0,0.8305883157349252
23,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8275896901386763
24,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8266924470309069
25,,,0.8321167883211679,Cora,gcn,fedavg,0,0.8304468329958192
26,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8270795438051006
27,,,0.833941605839416,Cora,gcn,fedavg,0,0.8324993851907863
28,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8232228907873569
29,,,0.833941605839416,Cora,gcn,fedavg,0,0.8329026617859137
30,,,0.833941605839416,Cora,gcn,fedavg,0,0.8321907197891418
31,,,0.8357664233576643,Cora,gcn,fedavg,0,0.8341515041028673
32,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8267259647114834
33,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8268883462081306
34,,,0.8302919708029197,Cora,gcn,fedavg,0,0.8284363338242295
35,,,0.8357664233576643,Cora,gcn,fedavg,0,0.8346513497451278
36,,,0.8302919708029197,Cora,gcn,fedavg,0,0.8285452662861033
37,,,0.8302919708029197,Cora,gcn,fedavg,0,0.8287297811176769
38,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8270131025434132
39,,,0.8266423357664233,Cora,gcn,fedavg,0,0.8252051853144433
40,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8226614050493009
41,,,0.8321167883211679,Cora,gcn,fedavg,0,0.8306532139882785
42,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8202562745760588
43,,,0.8302919708029197,Cora,gcn,fedavg,0,0.8288013621364266
44,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8199729531503225
45,,,0.8302919708029197,Cora,gcn,fedavg,0,0.8286532139882784
46,,,0.8193430656934306,Cora,gcn,fedavg,0,0.8181793514991359
47,,,0.8302919708029197,Cora,gcn,fedavg,0,0.82893617946649
48,,,0.8211678832116789,Cora,gcn,fedavg,0,0.820750963104903
49,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8231271766727675
50,,,0.8266423357664233,Cora,gcn,fedavg,0,0.825329941649726
51,,,0.8175182481751825,Cora,gcn,fedavg,0,0.8167509631049029
52,,,0.833941605839416,Cora,gcn,fedavg,0,0.8325098670060219
53,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8240790366093472
54,,,0.833941605839416,Cora,gcn,fedavg,0,0.8317748891439095
55,,,0.8193430656934306,Cora,gcn,fedavg,0,0.8188158787146105
56,,,0.8266423357664233,Cora,gcn,fedavg,0,0.8248013621364265
57,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8268154792339353
58,,,0.822992700729927,Cora,gcn,fedavg,0,0.8223246506444349
59,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8242271847574953
60,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8207117474186285
61,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8203198494785431
62,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8276165404997922
63,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8204287819404168
64,,,0.8321167883211679,Cora,gcn,fedavg,0,0.8306972308404446
65,,,0.822992700729927,Cora,gcn,fedavg,0,0.8230285865249412
66,,,0.8248175182481752,Cora,gcn,fedavg,0,0.824220519348453
67,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8278400879833017
68,,,0.8266423357664233,Cora,gcn,fedavg,0,0.8264819572569497
69,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8206276123497733
70,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8281597760924635
71,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8207117474186285
72,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8243686674966012
73,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8240790366093472
74,,,0.8302919708029197,Cora,gcn,fedavg,0,0.829594473948214
75,,,0.822992700729927,Cora,gcn,fedavg,0,0.8224727987925832
76,,,0.822992700729927,Cora,gcn,fedavg,0,0.8226142815316889
77,,,0.8266423357664233,Cora,gcn,fedavg,0,0.8259453870733207
78,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8242271847574953
79,,,0.8138686131386861,Cora,gcn,fedavg,0,0.8133951404891183
80,,,0.8175182481751825,Cora,gcn,fedavg,0,0.8177209550254594
81,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8273193416730817
82,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8239815707224076
83,,,0.8175182481751825,Cora,gcn,fedavg,0,0.816110261625292
84,,,0.8175182481751825,Cora,gcn,fedavg,0,0.8174753409903716
85,,,0.8175182481751825,Cora,gcn,fedavg,0,0.8163324838475143
86,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8205529992938363
87,,,0.8193430656934306,Cora,gcn,fedavg,0,0.8194753409903714
88,,,0.822992700729927,Cora,gcn,fedavg,0,0.822694482032942
89,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8204366151434963
90,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8247752215160584
91,,,0.8175182481751825,Cora,gcn,fedavg,0,0.8171923755121598
92,,,0.8193430656934306,Cora,gcn,fedavg,0,0.8190882442161778
93,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8203753329056436
94,,,0.8211678832116789,Cora,gcn,fedavg,0,0.8209105778279853
95,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8243686674966012
96,,,0.8284671532846716,Cora,gcn,fedavg,0,0.827994362558629
97,,,0.8284671532846716,Cora,gcn,fedavg,0,0.8279202884845549
98,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8245529992938362
99,,,0.8248175182481752,Cora,gcn,fedavg,0,0.8248359647720479
100,,,0.8175182481751825,Cora,gcn,fedavg,0,0.8173951404891184
